ID,Mean_Salary
sj_99ad4f80ae7f4835,102118.15241481796
job_6ff7f1a7c400916a,124719.30874535665
job_e059d20eba88b17a,120063.44355877534
job_79f7953813b13358,135893.8084437343
job_892dfe86b96f322b,130664.30326477045
job_5ffcc6ebb3e33e5d,104973.62731008168
job_cbe45b2561767953,134656.5671447774
job_0ca8e49c1cb52803,108831.596949255
job_1604b5d8eaefa226,123289.96339247769
job_06739208cdbb9dff,125739.0032985025
job_3032b23526757af8,131990.1784902952
job_641e1ddd07980c0b,118379.57115834937
job_03dc148b288f7823,132133.99853666298
job_9abff3074a977099,128795.20466297884
job_a4d1003bb7b676fb,122740.54583211325
sj_20a7d3dec3b48421,146259.56092822712
job_2cb77f1f8cb54844,145528.1396878134
job_bab637794f4ba409,121859.73289452374
job_fbeced04ee8721ca,142141.23706712644
job_1ef2e34ce3ce6d85,124751.38381937459
job_520f651f9f62cdcd,99267.75519234223
job_2e328f242b1bcc41,132301.3282031879
job_a24a2d53592b9e9b,147722.81580437673
job_25cd59ccbba24a84,139258.46739131253
job_dc075cbc3c2a17db,141015.57063768702
job_bfdb9565ce8b1a1d,118536.86598139344
job_65e40641c76f33b9,142844.13976896153
job_eb64e40bf74b31eb,138533.38433778
job_6bc38d15c6daa944,136949.53476961987
job_8e863ea40b00fdb2,119405.92380648792
job_ec97a494ada30a9e,132208.66358910833
job_67a9ada627fbfc77,122931.57246816863
job_4f30b57ab5ca896d,147386.34964817815
job_a7d7d37f766e39b3,134529.68048968795
job_b49d351ebce2c868,147726.0533438432
sj_6ec105e02fecfc26,104577.7216606394
job_9e3f68420e860d17,123569.21580730044
job_f3a3c4f8abc9c5d9,146628.16071895274
job_d1fa1de695cb05c3,111208.04247071088
job_c6e25cfa2243379d,140468.70415694144
job_a1425748b35c3858,140833.06039853365
job_6c35f3460540791a,140944.88465890527
job_8978c48b9df2a67a,104110.43701451187
job_45b48d2d1b6bb31e,133425.113881246
job_4c49b39be6488065,134346.71092574
job_4815ea4bc2aff1de,121987.39082998288
job_2f54932743eea129,140089.03795935458
job_dff61b7b7ba1047b,142786.97056415665
job_9cbbdce28074bc1b,126279.36980205051
job_72e64f2f87ed9216,125326.023508996
job_a01b358524ce3fb5,104214.20821374438
job_25b3a5b49af57755,122187.39297039856
job_3a3179362d83f96a,137278.73338507125
job_407644a2d6db0cb3,99875.79815368692
job_ec70d754c9a78f9d,99298.16627256456
job_ef1eb61be8ebd651,102169.05901182798
job_ccd9d9003f749c7d,133621.4953322161
job_321902319c50905e,140448.44019395777
job_64c4f05f25ec26b0,130184.33697789065
job_0ab59b5166a96c76,111980.60115772526
job_84d8c5d465f7a549,119785.69776633404
job_148b96ad4a1fbd34,133804.0463617474
job_3d5ed7e45d3f3326,99457.080312784
sj_d1788ddc21e6077c,138193.01481241413
job_58dc0215a8e14869,87152.8966575186
job_7e90299f7634c3d4,137811.58339034533
job_e74a22cc1d2a6bfc,125008.1068827763
job_38bd851e6c8f2c86,131070.00219565169
job_d595cda27708226f,123907.6041122521
job_ba168089d608e29a,140965.3342013817
job_08769cdbc233a7b8,134240.71635580843
job_271a65176076629e,130051.5577297834
job_84f2594f76518101,142679.8727779269
job_083784f6a7f17ea1,112768.24867799404
job_efb07e4568ea291a,118929.36626294664
job_d3375c5ca1ebe7a6,142655.29947078484
job_2e200313d018a705,136078.3588073256
job_add9918a786a5540,93394.47622663592
job_f4924c3c1aa47d80,136623.03338054943
job_bff9e84dffbc7489,110699.83947972083
job_1cddcdecbe005a22,139579.2786333748
job_144e4bbf9d4753c5,79053.44611656427
job_815ae3f04f299691,139745.7573082732
job_a20b0d2c540583c4,129713.73463434272
job_6709719c9fc9ff28,133402.30982887378
job_30ff407e393f4865,97385.07685630945
job_13f0b7b3ef6bc6bf,130900.62977623526
job_3afc38f1bcb98341,104297.980559711
job_52b85bd40da5ea1c,99834.14535606792
job_5419efc2b840f23c,126867.46176130381
job_fac12d93b26aefd2,133621.97208106815
job_14b4ba370785cfff,117451.19256000285
job_3aa6b1e801719aaf,103693.47975774732
job_f3a0de8fa33c81de,123519.67295999947
job_c54e36de35505f6c,143811.64217138884
job_9ce04f73c49c18cb,144363.51851625287
job_1ee97f9598524da6,148334.34173150017
job_3558b5557d859af8,138760.3071303264
job_276a993817dee7ea,141997.47384739504
job_8cf4e7dc82df2fcb,104883.0963410059
job_d895736bc57fb95e,141777.38710236212
job_3b57d6a225c3342d,105673.58909069022
job_07fa0d9619a16c9c,125529.46640127813
job_07fcbae759ef80d3,134371.29294411826
